TrialNumber		StartTime	EndTime	CoherenceAngle	StaircaseNumber		bothstair	vertical stair	horz stair	CombinedResponse		both	CorrectVertical	both	own	both	own	CorrectHorizontal	both	own	both	own	GazeError		HeadError				StimulusDirection
158		708878.9	710194.7	160	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.122667		0		SE
159		712896.9	714126.9	160	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.352382		0		SW
160		716910.1	718302	160	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.040721		0		SW
161		720927.6	722109.9	200	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.541633		0		SW
162		724949.2	726223	280	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.042632		0		NE
163		728969.4	730469	280	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.173651		0		SE
164		732989.1	734341.2	280	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.188202		0		NW
165		737016.9	739152.1	320	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.060073		0		NE
166		745051.5	746473.2	240	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.173267		0		SE
167		749072.1	750516.9	240	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.083474		0		NW
168		753093.8	754220.4	338	1					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.236761		0		NE
169		757113.3	758600.9	320	1					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.49569		0		NW
170		761135.9	762890.3	280	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.182901		0		SE
171		765153.8	766792.8	280	1					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.060473		0		SW
172		769164.3	770528.9	240	2					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.038056		0		SW
173		773191.6	774579.3	200	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.42351		0		SE
174		777206.8	779043.3	200	2					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.025782		0		SE
175		781231	782520.6	160	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		0.7899576		0		SE
176		784944	786500.1	160	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		0.8958157		0		SE
177		788974.2	790294.1	280	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.04815		0		NE
178		792985	794385.5	280	1					FALSE			FALSE					FALSE					"(0.0, 0.0, 0.0)"		1.166686		0		SW
179		796994.3	798646.9	240	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.033093		0		NW
180		801013.8	802457	240	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.072093		0		SE
181		805044.9	807327.6	240	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		0.7127545		0		SE
182		809110.3	810708.3	280	1					FALSE			FALSE					FALSE					"(0.0, 0.0, 0.0)"		0.8938601		0		NW
183		813130.8	814457.3	240	1					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.140791		0		NE
184		817139.9	818818	200	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.115063		0		NE
185		821149.1	822542.8	200	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		0.9546111		0		SW
186		825159	827046.4	200	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.28208		0		SW
187		829169.7	831271	240	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		0.5358107		0		NW
188		833199.4	834910.2	240	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.008889		0		NW
189		837220.9	838867.1	240	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		0.6797358		0		NE
190		841241.8	842720.4	240	2					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.107224		0		SW
191		845264.3	846660.2	200	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.335167		0		SE
192		849292.7	850851.3	200	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		0.9855298		0		NE
193		853995.6	855605.9	240	2					FALSE			FALSE					FALSE					"(0.0, 0.0, 0.0)"		1.793275		0		NW
194		858016.4	859932.5	200	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.092561		0		NW
195		862025.7	863455.3	200	2					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.016024		0		NE
196		866035	867595.9	160	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		0.8640148		0		SE
197		870061.1	871634.2	160	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.100268		0		NE
198		874076.1	875384.1	280	2					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.100393		0		NE
199		878085.1	879710	120	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.59452		0		NW
200		882095.3	883471.1	120	1					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		0.9379532		0		NW
