TrialNumber	StartTime	EndTime	CoherenceAngle	StaircaseNumber	CombinedResponse	CorrectVertical	CorrectHorizontal		GazeError		HeadError		StimulusDirection
219	692523.1	693418.1	280	1	False	False	True		"(0.0, 0.0, 0.0)"		0.9775195	0	SE
220	696538.8	697304.8	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.02820774	0	SW
221	700561.3	701338.6	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.2736025	0	NW
222	704585.3	705618.3	280	1	True	True	True		"(0.0, 0.0, 0.0)"		1.146908	0	NW
223	708619.3	709582.9	280	1	True	True	True		"(0.0, 0.0, 0.0)"		0.3465314	0	SW
224	712652.9	713525.1	320	1	False	False	True		"(0.0, 0.0, 0.0)"		0.4285499	0	SW
225	716668.4	717584.4	280	1	True	True	True		"(0.0, 0.0, 0.0)"		0.2065891	0	SE
226	720907.4	722089	280	1	True	True	True		"(0.0, 0.0, 0.0)"		2.703571	0	NW
227	724938.6	725736.8	320	1	False	False	True		"(0.0, 0.0, 0.0)"		2.803955	0	SW
228	728958.5	730038.6	280	1	False	False	True		"(0.0, 0.0, 0.0)"		1.961235	0	NE
229	734268.1	735104.3	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.213732	0	NW
230	738287.8	739063.9	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.7318754	0	SE
231	742300.3	743128.9	280	1	True	True	True		"(0.0, 0.0, 0.0)"		0.603197	0	SE
232	746709	747525.8	280	1	False	False	True		"(0.0, 0.0, 0.0)"		0.4724404	0	SE
233	750734	751544.9	240	1	True	True	True		"(0.0, 0.0, 0.0)"		1.475145	0	SW
234	754752.5	755711.6	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.290679	0	NE
235	759012.5	759815.7	280	1	True	True	True		"(0.0, 0.0, 0.0)"		0.5097079	0	SE
236	763039.4	763738.4	280	1	False	False	True		"(0.0, 0.0, 0.0)"		1.821521	0	SW
237	767053.8	767721.9	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.3754304	0	SE
238	771083.8	771964.8	240	1	False	False	True		"(0.0, 0.0, 0.0)"		0.6711339	0	SE
239	775112.6	776620.5	200	1	False	False	True		"(0.0, 0.0, 0.0)"		0.7847958	0	NE
240	779134.6	779998.1	160	1	False	False	True		"(0.0, 0.0, 0.0)"		0.7880962	0	SE
241	783145.1	783856.9	120	1	True	True	True		"(0.0, 0.0, 0.0)"		0.3153231	0	SE
242	787156.8	787926.1	120	1	True	True	True		"(0.0, 0.0, 0.0)"		0.4266014	0	SE
243	791186	791904.8	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.6818845	0	NW
244	795205.2	795796.6	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.523137	0	NE
245	799222.4	800159.3	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.537748	0	SE
246	803239.5	803896.8	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.3494439	0	NE
247	807276.8	808115.4	240	1	True	True	True		"(0.0, 0.0, 0.0)"		2.047457	0	SE
248	811297.2	812041.9	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.3835064	0	NE
249	815312.5	816076.8	280	1	True	True	True		"(0.0, 0.0, 0.0)"		0.5995265	0	SE
250	819336.6	820845.9	280	1	False	False	True		"(0.0, 0.0, 0.0)"		0.378478	0	SE
251	823357.6	824227.6	240	1	False	False	True		"(0.0, 0.0, 0.0)"		0.5009892	0	SE
252	827373.7	828105.4	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.3627758	0	SW
253	831401.1	832956.4	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.2896042	0	SE
254	835411.2	836920.1	240	1	False	False	True		"(0.0, 0.0, 0.0)"		0.6025093	0	SE
255	839432	840072.9	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.2007287	0	SW
256	843450.1	844456.1	200	1	False	False	True		"(0.0, 0.0, 0.0)"		0.1082323	0	NE
257	847462.7	848172.5	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.3727815	0	SE
258	851480.1	852250.9	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.152581	0	NE
259	855495.4	856261.9	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.5684886	0	SW
260	859518.3	860406.8	200	1	True	True	True		"(0.0, 0.0, 0.0)"		1.137291	0	SW
261	863533.4	864380.9	240	1	True	True	True		"(0.0, 0.0, 0.0)"		4.418843	0	SW
262	867579.4	869053.4	240	1	False	False	True		"(0.0, 0.0, 0.0)"		1.537439	0	NW
263	871599.4	872573.6	200	1	False	False	True		"(0.0, 0.0, 0.0)"		0.5833892	0	SE
264	875611	876463.6	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.1062366	0	SE
265	879628.8	880254.8	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.2310009	0	NE
266	883640.3	884412.6	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.5133969	0	SW
267	887652.9	888558.5	200	1	False	False	True		"(0.0, 0.0, 0.0)"		0.3425192	0	SW
268	891679.9	892368.4	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.6704668	0	SW
269	895698.9	896487.3	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.1973243	0	NW
